accountsservice 23.13.9-2
acpi 1.7-3
acpilight 1.2-2
adobe-source-han-sans-cn-fonts 2.004-2
adobe-source-han-sans-jp-fonts 2.004-2
adobe-source-han-sans-kr-fonts 2.004-2
alsa-firmware 1.2.4-3
alsa-plugins 1:1.2.7.1-2
alsa-utils 1.2.11-1
arandr 0.1.11-3
arc-gtk-theme-eos 20221218-2
arc-x-icons-theme 2.1-3
archlinux-xdg-menu 0.7.6.6-1
atuin 18.2.0-2
autoconf 2.72-1
automake 1.16.5-2
awesome-terminal-fonts 1.1.0-4
b43-fwcutter 019-4
base 3-2
bash-completion 2.14.0-2
bat 0.24.0-2
bind 9.18.27-1
binutils 2.42+r91+g6224493e457-1
bison 3.8.2-6
bluez 5.76-1
bluez-utils 5.76-1
brightnessctl 0.5.1-2
btrfs-progs 6.9-1
calibre 7.12.0-1
cantarell-fonts 1:0.303.1-1
capitaine-cursors 4-2
celluloid 0.26-1
cheat 4.4.2-2
cryptsetup 2.7.2-1
debugedit 5.0-6
device-mapper 2.03.24-1
dex 0.9.0-1
dhclient 4.4.3.P1-3
dialog 1:1.3_20240307-2
diffutils 3.10-1
direnv 2.34.0-1
dmenu 5.3-3
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.90-1
docker 1:26.1.4-1
docker-compose 2.27.1-1
dosfstools 4.2-3
downgrade 11.3.0-1
dunst 1.11.0-1
e2fsprogs 1.47.1-4
efibootmgr 18-3
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 24.4-1
endeavouros-skel-i3wm 4.6-1
endeavouros-theming 24.04.1.3-1
endeavouros-xfce4-terminal-colors 5-1
eos-apps-info 24.2-1
eos-hooks 1.16-1
eos-log-tool 24-1
eos-rankmirrors 24.4-1
eos-update-notifier 24.4.3-1
ethtool 1:6.9-1
exfat-utils 1.4.0-2
expressvpn 3.70.0.2_1-1
eza 0.18.17-1
f2fs-tools 1.16.0-2
fakeroot 1.34-1
fd 10.1.0-1
ffmpegthumbnailer 2.2.2-5
file-roller 44.3-1
firefox 126.0.1-1
flameshot 12.1.0-3
flex 2.6.4-5
fsarchiver 0.8.7-1
galculator 2.1.4-8
gcc 14.1.1+r58+gfc9fb69ad62-1
git 2.45.2-1
glances 4.0.8-2
gnu-netcat 0.7.1-10
gparted 1.6.0-1
grub 2:2.12-2
grub-tools 1.6.6-1
grub2-theme-endeavouros 20211129-1
gst-libav 1.24.3-1
gst-plugin-pipewire 1:1.0.7-2
gst-plugins-bad 1.24.3-1
gst-plugins-ugly 1.24.3-1
gthumb 3.12.6-1
gtk-engine-murrine 0.98.2-4
gvfs 1.54.1-1
gvfs-afc 1.54.1-1
gvfs-gphoto2 1.54.1-1
gvfs-mtp 1.54.1-1
gvfs-nfs 1.54.1-1
gvfs-smb 1.54.1-1
haveged 1.9.18-2
hdparm 9.65-1
httpie 3.2.2-2
hwdetect 2024.04.14.2206-1
hwinfo 23.2-1
i3-wm 4.23-4
i3blocks 1.5-4
i3lock 2.15-2
i3status 2.14-1
inetutils 2.5-1
intel-ucode 20240531-1
inxi 3.3.34.1-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
